GEOID20,District
42001000010,193
42001000020,91
42001000030,91
42001000040,193
42001000050,91
42001000060,193
42001000070,91
42001000078,91
42001000082,91
42001000090,193
42001000100,193
42001000110,91
42001000120,91
42001000130,91
42001000140,91
42001000150,193
42001000160,91
42001000170,91
42001000180,91
42001000190,91
42001000200,193
42001000210,91
42001000230,91
42001000240,91
42001000260,193
42001000270,91
42001000280,91
42001000290,193
42001000310,193
42001000320,91
42001000330,193
42001000340,193
42001000350,193
42001000360,193
42001000370,91
42001000380,193
42001000385,193
42001000390,193
42001000400,193
42001000410,193
42001000425,193
42001000427,193
42001000432,193
42001000434,193
42001000436,193
42001000440,193
42001000450,193
42001000460,193
42001000480,193
42001000490,193
42003000010,44
42003000021,33
42003000031,33
42003000050,33
42003000061,45
42003000081,45
42003000091,45
42003000101,45
42003000111,45
42003000121,45
42003000130,38
42003000140,38
42003000151,38
42003000161,38
42003000171,38
42003000181,38
42003000191,38
42003000201,38
42003000211,38
42003000221,38
42003000225,38
42003000231,38
42003000235,38
42003000261,38
42003000271,38
42003000281,38
42003000291,38
42003000295,38
42003000301,38
42003000305,38
42003000310,44
42003000321,45
42003000331,45
42003000351,45
42003000361,45
42003000371,45
42003000381,45
42003000400,45
42003000411,45
42003000430,45
42003000441,40
42003000446,40
42003000452,40
42003000461,40
42003000466,40
42003000472,40
42003000481,40
42003000486,40
42003000493,40
42003000501,40
42003000511,40
42003000522,40
42003000530,40
42003000540,40
42003000542,40
42003000551,40
42003000562,40
42003000565,40
42003000571,40
42003000576,40
42003000582,40
42003000591,40
42003000596,40
42003000602,40
42003000603,40
42003000623,40
42003000624,40
42003000625,40
42003000631,33
42003000650,33
42003000660,33
42003000670,33
42003000711,34
42003000720,34
42003000721,34
42003000750,34
42003000760,34
42003000770,28
42003000781,38
42003000791,38
42003000801,38
42003000811,38
42003000821,38
42003000831,38
42003000841,38
42003000851,38
42003000861,38
42003000865,38
42003000871,46
42003000881,46
42003000891,46
42003000901,46
42003000920,42
42003000930,42
42003000940,42
42003000950,42
42003000961,42
42003000980,42
42003000990,42
42003001000,42
42003001011,38
42003001021,38
42003001031,38
42003001041,38
42003001051,38
42003001061,38
42003001068,38
42003001073,38
42003001080,34
42003001091,33
42003001101,33
42003001110,34
42003001120,34
42003001130,34
42003001140,34
42003001150,39
42003001160,39
42003001170,39
42003001180,39
42003001190,39
42003001200,39
42003001210,39
42003001220,39
42003001230,39
42003001240,39
42003001250,39
42003001260,39
42003001282,46
42003001292,46
42003001302,46
42003001322,46
42003001324,46
42003001326,46
42003001331,44
42003001341,44
42003001351,44
42003001371,44
42003001381,44
42003001390,44
42003001400,44
42003001411,45
42003001420,45
42003001440,45
42003001451,45
42003001471,45
42003001490,45
42003001500,44
42003001510,44
42003001520,42
42003001541,42
42003001550,42
42003001561,42
42003001570,42
42003001580,42
42003001590,42
42003001600,42
42003001610,42
42003001630,42
42003001641,35
42003001660,35
42003001670,35
42003001680,39
42003001690,39
42003001700,39
42003001710,39
42003001730,39
42003001740,39
42003001750,39
42003001770,39
42003001780,39
42003001790,39
42003001811,33
42003001831,33
42003001850,50
42003001860,50
42003001870,50
