GEOID20,District
42001000010,91
42001000100,91
42001000090,91
42133000728,169
42001000110,91
42001000120,91
42001000140,91
42001000130,91
42001000150,193
42001000160,193
42001000170,193
42001000180,193
42001000190,91
42001000020,193
42001000200,91
42001000210,91
42001000230,91
42001000240,91
42001000260,193
42001000270,193
42001000280,91
42001000290,193
42001000030,193
42001000310,193
42001000320,91
42001000330,91
42001000340,91
42001000350,91
42001000360,91
42001000370,193
42001000380,91
42001000385,91
42001000390,91
42001000040,91
42001000400,91
42001000425,91
42001000410,91
42001000427,91
42001000432,193
42001000436,193
42001000434,193
42001000440,193
42001000450,193
42001000460,193
42001000480,91
42001000490,193
42001000050,193
42001000060,91
42001000070,193
42001000082,91
42001000078,91
42003000010,28
42003001000,27
42003000101,20
42003001011,42
42003001021,42
42003001031,42
42003001041,42
42003001051,42
42003001061,42
42003001068,42
42003001073,42
42003001080,34
42003001091,33
42003001101,33
42003000111,20
42003001110,34
42003001140,34
42003001120,34
42003001130,34
42003001150,35
42003003031,39
42003001160,35
42003001170,35
42003001180,35
42003005795,28
42003005812,28
42003005805,28
42003001190,35
42003005815,28
42003001200,35
42003000121,20
42003001210,35
42003001220,35
42003001230,35
42003001240,35
42003001250,35
42003001260,35
42003001324,45
42003001322,45
42003001326,45
42003001282,45
4200300F437,45
42003001292,45
4200300E376,45
42003001302,45
42003000130,42
42003001331,45
42003001341,45
42003001351,45
42003001371,45
42003001381,45
42003001390,45
42003000140,42
42003001400,45
42003001411,27
42003001420,27
42003001440,27
42003001451,27
42003001471,27
42003001490,27
42003001500,44
42003000151,38
42003001510,44
42003001520,42
42003001541,42
42003001550,42
42003001561,42
42003001570,42
42003001580,42
42003001590,42
42003001600,42
42003000161,38
4200300D690,38
42003001610,42
42003001630,42
42003001641,38
42003001660,38
42003001670,38
42003001680,35
42003001690,35
42003001700,35
42003001730,35
42003000171,38
42003001710,35
42003001740,35
42003001750,35
42003001770,35
42003001780,35
42003001790,35
42003000181,38
42003001811,33
42003001831,33
42003001850,25
42003001860,25
42003001870,25
42003001880,34
42003001890,34
42003001901,34
42003000191,38
42003000235,38
42003001921,34
42003001931,34
42003001941,34
42003001960,44
42003001970,44
42003001980,39
42003002043,39
42003002025,39
42003001998,39
42003000201,38
42003002010,39
42003002011,39
42003002022,39
42003001990,39
42003001981,39
42003002032,39
42003002035,39
42003002071,39
42003002090,20
42003003232,28
42003000021,33
42003002100,20
42003000211,38
42003002111,33
42003002131,33
42003002150,33
42003002160,33
42003002170,33
42003002180,44
42125001510,15
42003002190,44
42003002200,44
42003000221,38
42003002211,34
42003002221,34
42003002231,34
42003002240,34
42003000225,38
42003002251,34
42003002261,34
42003002268,34
42003002274,34
42003002280,39
42003002291,39
42003002300,39
42003002305,39
42003000231,38
42003002310,33
42003002321,33
42003002331,33
42003002338,33
42003002344,33
4200300D990,39
42003002350,28
42003002351,28
42003002360,28
42003002352,28
42003002370,28
42003002369,28
42003002362,28
42003002372,28
42003002371,28
42003002381,33
42003002400,38
42003002411,38
42003002421,38
42003002430,38
42003002440,38
42003002470,38
42003002480,28
42003002491,27
42003002501,27
42003002510,27
42003002521,27
42003002541,30
42003002550,30
42003002560,30
42003002571,30
42003002576,30
42003002581,30
42003002586,30
42003002591,30
42003000261,38
42003002620,30
42003002625,33
42003002630,30
42003002631,30
42003002640,30
42003002641,30
42003002650,33
42003002660,33
42003002670,33
