GEOID20,District
42001000010,33
42001000100,33
42001000090,33
42133000728,28
42001000110,33
42001000120,33
42001000140,33
42001000130,33
42001000150,33
42001000160,33
42001000170,33
42001000180,33
42001000190,33
42001000020,33
42001000200,33
42001000210,33
42001000230,33
42001000240,33
42001000260,33
42001000270,33
42001000280,33
42001000290,33
42001000030,33
42001000310,33
42001000320,33
42001000330,33
42001000340,33
42001000350,33
42001000360,33
42001000370,33
42001000380,33
42001000385,33
42001000390,33
42001000040,33
42001000400,33
42001000425,33
42001000410,33
42001000427,33
42001000432,33
42001000436,33
42001000434,33
42001000440,33
42001000450,33
42001000460,33
42001000480,33
42001000490,33
42001000050,33
42001000060,33
42001000070,33
42001000082,33
42001000078,33
42003000010,38
42003001000,37
42003000101,38
42003001011,42
42003001021,42
42003001031,42
42003001041,42
42003001051,42
42003001061,42
42003001068,42
42003001073,42
42003001080,43
42003001091,45
42003001101,45
42003000111,38
42003001110,43
42003001140,43
42003001120,43
42003001130,43
42003001150,42
42003003031,42
42003001160,42
42003001170,42
42003001180,42
42003005795,38
42003005812,38
42003005805,38
42003001190,42
42003005815,38
42003001200,42
42003000121,38
42003001210,42
42003001220,42
42003001230,42
42003001240,42
42003001250,42
42003001260,42
42003001324,37
42003001322,37
42003001326,37
42003001282,37
4200300F437,37
42003001292,37
4200300E376,37
42003001302,37
42003000130,42
42003001331,38
42003001341,38
42003001351,38
42003001371,38
42003001381,38
42003001390,38
42003000140,42
42003001400,38
42003001411,37
42003001420,37
42003001440,37
42003001451,37
42003001471,37
42003001490,37
42003001500,38
42003000151,42
42003001510,38
42003001520,37
42003001541,37
42003001550,37
42003001561,37
42003001570,37
42003001580,37
42003001590,37
42003001600,37
42003000161,42
4200300D690,42
42003001610,37
42003001630,37
42003001641,42
42003001660,42
42003001670,42
42003001680,42
42003001690,42
42003001700,42
42003001730,42
42003000171,42
42003001710,42
42003001740,42
42003001750,42
42003001770,42
42003001780,42
42003001790,42
42003000181,42
42003001811,45
42003001831,45
42003001850,45
42003001860,45
42003001870,45
42003001880,43
42003001890,43
42003001901,43
42003000191,42
42003000235,42
42003001921,43
42003001931,43
42003001941,43
42003001960,38
42003001970,38
42003001980,42
42003002043,42
42003002025,42
42003001998,42
42003000201,42
42003002010,42
42003002011,42
42003002022,42
42003001990,42
42003001981,42
42003002032,42
42003002035,42
42003002071,42
42003002090,38
42003003232,38
42003000021,45
42003002100,38
42003000211,42
42003002111,45
42003002131,45
42003002150,45
42003002160,45
42003002170,45
42003002180,38
42125001510,46
42003002190,38
42003002200,38
42003000221,42
42003002211,43
42003002221,43
42003002231,43
42003002240,43
42003000225,42
42003002251,43
42003002261,43
42003002268,43
42003002274,43
42003002280,42
42003002291,42
42003002300,42
42003002305,42
42003000231,42
42003002310,45
42003002321,45
42003002331,45
42003002338,45
42003002344,45
4200300D990,42
42003002350,38
42003002351,38
42003002360,38
42003002352,38
42003002370,38
42003002369,38
42003002362,38
