GEOID20,District
42101005821,6
42101005804,6
42101005805,6
42101005820,6
42101005841,6
42101005829,6
42101005839,6
42101005824,6
42101006605,6
42101006604,6
42101006606,6
42101006622,6
42101006614,6
42101006634,6
42101006638,6
42101006609,6
42101006613,6
42101006616,6
42101006603,6
42101006639,6
42101006623,6
42101005837,6
42101005825,6
42101005812,6
42101005840,6
42101005806,6
42101005831,6
42101005807,6
42101005822,6
42101005835,6
42101005836,6
42101005802,6
42101005834,6
42101005838,6
42101005833,6
42101005832,6
42101005818,6
42101005809,6
42101005808,6
42101005843,6
42101005815,6
42101005810,6
42101005801,6
42101006607,6
42101006602,6
42101005823,6
42101005803,6
42101006305,6
42101006302,6
42101006306,6
42101006309,6
42101006308,6
42101006313,6
42101006310,6
42101006303,6
42101006304,6
42101006312,6
42101006314,6
42101006323,6
42101006311,6
42101006307,6
42101006318,6
42101006316,6
42101006315,6
42101006317,6
42101006319,6
42101006320,6
42101005813,6
42101005816,6
42101005826,6
42101005817,6
42101006321,6
42101006324,6
42091000035,11
42091002670,11
42101006301,6
42101005641,6
42101006322,6
42101006325,6
42101005630,6
42101005819,6
42101005811,6
42101005814,6
42101005844,6
42101005827,6
42101006610,6
42101005842,6
42101006631,6
42101006635,6
42101006617,6
42101006611,6
42101006615,6
42101006641,6
42101006608,6
42101006624,6
42101006644,6
42101006645,6
42101006636,6
42101006625,6
42101006637,6
42101006640,6
42101006632,6
42101006618,6
42101005702,6
42101005724,6
42101005725,6
42101005712,6
42101005710,6
42101005727,6
42101005711,6
42101005715,6
42101005709,6
42101005726,6
42101005828,6
42101005635,6
42101005631,6
42101005638,6
42101005706,6
42101005639,6
42101005624,6
42101005623,6
42101005619,6
42101005625,6
42101005626,6
42101005620,6
42101005621,6
42101005622,6
42101005618,6
42101005617,6
42101005611,6
42101005616,6
42101005612,6
42101005608,6
42101005605,6
42101005636,6
42101005606,6
42101005627,6
42101005628,6
42101005830,6
42101006601,6
42101006612,6
42101006642,6
42101006620,6
42101006630,6
42101006629,6
42101006646,6
42101006619,6
42101006626,6
42101006628,6
42101006621,6
42101006643,6
42101006633,6
42101005719,6
42101005721,6
42101005701,6
42101005722,6
42101006502,6
42101006501,6
42101006523,6
42101006503,6
42101006506,6
42101006507,6
42101006520,6
42101006504,6
42101006627,6
42101006510,6
42101005718,6
42101005716,6
42101005717,6
42101005728,6
42101006401,6
42101006509,6
42101006505,6
42101006511,6
42101006516,6
42101006518,6
42101005714,6
42101005713,6
42101006402,6
42101005703,6
42101006415,6
42101006407,6
42101005708,6
42101005704,6
42101005629,6
42101005705,6
42101005707,6
42101005720,6
42101005723,6
42101006508,6
42101005607,6
42101005609,6
42101005604,6
42101005633,6
42101005610,6
42101005603,6
42101005614,6
42101005613,6
42101005637,6
42101005615,6
42101005602,6
42101005632,6
42101006418,6
42101005634,6
42101006416,6
42101005601,6
42101005640,6
42101006404,6
42101006512,6
42101006522,6
42101006515,6
42101004116,6
42101006514,6
42101006409,6
42101006410,6
42101006408,6
42101006519,6
42101006517,6
42101006405,6
42101006406,6
42101006403,6
42101006417,6
42101006413,6
42101006414,6
42101006411,6
42101006521,6
42101006513,6
42101006412,6
42101005518,5
42101005517,5
42101005515,5
42101005514,5
42101005513,5
42101005509,5
42101005516,5
42101005510,5
42101005508,5
42101005511,5
42101005521,5
42101005522,5
42101005523,5
42101005524,5
42101005519,5
42101005520,5
42101005512,5
42101005526,5
42101005507,5
42101005505,5
42101005504,5
42101005506,5
42101005503,5
42101005501,5
42101005502,5
42101005525,5
42101005528,5
42101005527,5
42101005529,5
42101004118,6
42101004122,6
42101004121,6
42101004119,6
42101004123,6
42101004124,6
42101004126,6
42101004125,6
42101004120,6
42101004107,6
42101004102,5
42101004101,5
42101004103,5
42101004105,6
42101004110,6
42101004109,6
42101004108,6
42101004111,6
42101004112,6
42101004115,6
42101004117,6
42101004114,6
42101004113,6
42101004106,6
42101004104,6
42101005321,5
42101003502,5
42101003503,5
42101005322,5
42101003501,5
42101005315,5
42101003532,5
42101005320,5
42101005312,5
42101005319,5
42101005314,5
42101005316,5
42101005317,5
42101005313,5
42101005318,5
42101005311,5
42101005310,5
42101005413,5
42101005418,5
42101005308,5
42101005409,5
42101005405,5
42101005406,5
42101005404,5
42101005306,5
42101005412,5
42101005402,5
42101005303,5
42101005403,5
42101005401,5
42101005304,5
42101005302,5
42101006220,5
42101006214,5
42101005301,5
42101006215,5
42101006211,5
42101006210,5
42101006216,5
42101006212,5
42101006222,5
42101006224,5
42101006221,5
42101006223,5
42101005407,5
42101005410,5
42101006225,5
42101005414,5
42101005411,5
42101003505,5
42101003512,5
42101003514,5
42101003504,5
42101003506,5
42101005305,5
42101005307,5
42101005323,5
42101003507,5
42101003508,5
42101003509,5
42101003510,5
42101003511,5
42101003513,5
42101003520,5
42101003518,5
42101003525,5
42101003519,5
42101003527,5
42101003521,5
42101003531,5
42101005309,5
42101005408,5
42101005417,5
42101005421,5
42101005422,5
42101005416,5
42101005419,5
42101005420,5
42101005415,5
42101006217,5
42101006226,5
42101006218,5
42101006219,5
42101006213,5
42101006205,5
42101006203,5
42101006204,5
42101006202,5
42101006201,5
42101004512,5
42101004515,5
42101004507,5
42101004514,5
42101004509,5
42101004510,5
42101004519,5
42101004517,5
42101004518,5
42101002323,5
42101002301,5
42101002303,5
42101002310,5
42101002311,5
42101002312,5
42101003530,5
42101003528,5
42101003529,5
42101003526,5
42101003523,5
42101003517,5
42101003516,5
42101003522,5
42101003524,5
42101003515,5
42101006207,5
42101006208,5
42101006206,5
42101002307,5
42101002309,5
42101002304,5
42101002308,5
42101002313,5
42101006209,5
42101002320,5
42101002321,5
42101002319,5
42101002305,5
42101002302,5
42101002306,5
42101002317,5
42101002316,5
42101002318,5
42101002315,5
42101002322,5
42101002314,5
42101004502,5
42101004503,5
42101004501,5
42101004523,5
42101004520,5
42101004504,5
42101004516,5
42101004511,5
42101004508,5
42101004521,5
42101004513,5
42101004506,5
42101004522,5
42101004524,5
42101004505,5
42101004525,5
42101003301,5
42101003302,5
42101003303,5
42101003312,5
42101003314,5
42101003316,5
42101003322,5
42101003319,5
42101003317,5
42101003318,5
42101003321,5
42101003320,5
42101003324,5
42101003315,5
42101003323,5
42101003304,5
42101003305,5
42101003306,5
42101003307,5
42101003309,5
42101003310,5
42101003311,5
42101003313,5
42101003308,5
42101002514,2
42101002513,2
42101002511,2
42101002510,2
42101002507,2
42101002515,2
42101002519,2
42101002520,2
42101002521,2
42101002518,2
42101002516,2
42101002517,2
42101002509,2
42101002502,2
42101002524,2
42101002508,2
42101002523,2
42101002522,2
42101002512,2
