GEOID20,District
42003003233,R38
42003003225,R38
42003003221,R38
42003003240,R38
42003003260,R38
42003003290,R38
42003003270,R38
42003003280,R38
42003003360,R38
42003003310,R38
42003003330,R38
42003003350,R38
42003003320,R38
42003003420,R38
42003003250,R38
42003003390,R38
42003003400,R38
42003003430,R38
42003003410,R38
42003002641,R38
42003003440,R38
4200300E334,R38
4200300E300,R38
4200300E331,R38
4200300E332,R38
4200300E333,R38
42003005041,D45
42003000430,R37
42003000411,R37
42003002571,R38
42003005880,D43
4200300E010,R37
4200300E140,D45
42003003700,D45
4200300B030,D42
42003000452,R37
42003000441,R37
42003000472,R37
42003001200,D45
42003001740,D45
4200300B130,D42
42003005291,R37
42003003000,R37
4200300H091,D43
42003006390,D43
4200300B600,D42
4200300C440,D42
42003009130,D43
42003000770,R38
42003003570,D45
4200300B660,D42
4200300A350,D43
42003003070,R37
42003000950,R37
42003001451,D42
4200300B720,D42
4200300B620,D42
4200300B700,D42
42003002920,R38
42003002640,R38
42003005370,R38
42003005241,R38
42003003021,R37
42003000050,R38
4200300E685,R38
4200300C860,D42
4200300A210,D43
42003004940,D42
42003002501,R37
4200300A290,D43
4200300B390,D42
4200300D420,D42
4200300D200,D42
4200300F510,R37
4200300D300,D42
42003006500,D43
42003006920,D43
4200300E000,R37
42003007390,D43
42003007890,D43
4200300B520,D42
42003003580,D45
4200300E135,D45
42003005400,D45
42003002190,R37
4200300G670,D45
42003003491,D42
42003008340,D43
4200300F641,D42
4200300C810,D42
4200300C720,D42
4200300C790,D42
42003009010,D43
42003000310,R37
4200300A580,D43
4200300A840,D43
4200300E210,D43
42003008030,D43
42003005310,R38
42003009710,D43
42003003051,R37
42003005721,D45
42003006715,D43
42003003870,D45
42003005430,D45
4200300A720,D42
4200300D280,D42
42003000624,R37
4200300G170,R37
42003009630,D43
42003000930,R37
42003002770,R38
42003005812,R38
42003003010,R37
4200300A270,D43
4200300F241,R38
42003004510,D42
4200300C980,D42
4200300F270,R38
42003005191,R38
4200300G041,D45
4200300G082,R37
42003007490,D43
42003003551,D42
42003002160,R38
4200300G210,D45
4200300D580,D43
4200300A170,D43
4200300E366,R37
4200300C680,D42
4200300G710,D45
42003000720,D43
42003002550,R38
4200300F921,R38
4200300F281,R38
42003003300,R38
4200300F415,R37
4200300B900,D42
42003000281,D42
42003000551,R37
4200300D460,D42
42003001322,R37
4200300F620,D42
42003009960,D43
42003008090,D43
42003000381,D42
4200300E342,R37
42003007660,D43
4200300E810,R37
4200300E120,D45
42003003511,D42
4200300B820,D42
42003006620,D43
42003002510,R37
42003001390,D42
42003005870,D43
42003001440,D42
4200300A950,D42
42003004241,R37
42003005470,D45
4200300G852,D42
4200300G856,D42
42003001850,D45
42003002371,R38
4200300G341,D43
42003005480,D45
42003003080,R37
42003002200,R37
42003000111,D42
4200300C070,D42
4200300G140,R37
42003000061,D42
42003009670,D43
4200300A120,D43
42003005091,R37
4200300H155,D45
4200300G400,D45
4200300D140,D42
42003003630,D45
4200300F180,R38
42003004271,R37
42003000980,R37
42003005780,R37
42003004540,D42
4200300D620,D42
42003004281,R37
42003004251,R37
42003009350,D43
42003009820,D43
4200300C080,D43
42003000446,R37
4200300D340,D42
42003004741,D43
4200300F630,D42
42003001411,D42
42003006860,D43
42003005940,D43
42003008930,D43
42003008830,D43
42003008990,D43
42003003850,D45
42003002025,R37
4200300G910,D45
42003008360,D43
42003007910,D43
4200300E090,D45
4200300A310,D43
42003000301,D42
4200300H011,D43
4200300F970,39
42003002131,D43
42003000400,R37
4200300G291,R38
4200300F950,R38
42003003860,D45
4200300F530,D45
42003002011,R37
42003000291,D42
42003009730,D43
4200300G790,D42
42003005001,D45
42003004850,D43
42003001220,D45
42003006665,D43
42003001400,D42
4200300G645,R38
4200300C050,D42
42003002940,R38
42003001880,D45
4200300G960,D43
4200300A680,D42
42003004110,D45
42003001870,D45
42003002035,R37
42003003161,R37
42003004330,R37
42003007830,D43
42003001170,D45
4200300H070,D43
42003007100,D43
42003007120,D43
42003004400,D42
42003002821,D43
42003001490,D42
42003004570,D42
42003002680,R38
42003006660,D43
42003009530,D43
42003009940,D43
4200300G680,D45
42003003910,D45
42003003060,R37
42003002521,R37
4200300E145,D45
4200300G190,R37
4200300C740,D42
4200300E735,R38
42003000221,D42
4200300E356,R37
42003003820,D45
4200300G011,D45
4200300G931,D43
42003004371,D42
4200300F760,D43
4200300E376,R37
4200300C140,D43
4200300E320,R38
42003000371,D42
4200300B640,D42
42003007560,D43
42003008610,D43
4200300C280,D43
4200300E230,D43
4200300A230,D43
4200300A330,D43
42003001700,D45
42003004721,D42
42003001381,D42
42003001921,D43
4200300B330,D42
4200300A060,D43
42003001091,R38
42003002370,R38
42003004200,D45
4200300G550,D45
42003004180,D45
4200300F891,R38
4200300F010,R37
42003007950,D43
42003009290,D43
42003008690,D43
4200300E181,D45
4200300F900,R38
42003000351,D42
42003009790,D43
42003006760,D43
42003003600,D45
4200300B370,D42
42003004410,D42
4200300E841,R37
42003008910,D43
42003001580,D42
42003009430,D43
42003004991,D45
42003008590,D43
42003004920,D42
4200300E645,R38
4200300F020,R37
42003002660,R38
42003009370,D43
42003005788,R38
42003004880,D43
42003002670,R38
4200300E595,R38
42003002630,R38
4200300E330,R38
42003002730,R38
42003005601,D45
4200300H135,D45
4200300E901,R37
4200300A480,D43
42003001021,D42
4200300G840,D42
4200300G810,D42
42003000542,R37
4200300E780,R37
4200300F464,R37
4200300C750,D42
42003006680,D43
4200300D180,D42
42003001990,R37
42003002950,R38
42003005321,R38
42003005341,R38
42003003790,D45
42003007160,D43
