GEOID20,District
42039000310,2
42039000050,2
42039000380,2
42039000630,2
42039000370,2
42039000330,2
42039000140,2
42039000620,2
42039000450,2
42039000300,2
42039000010,2
42039000440,2
42039000030,2
42039000110,2
42039000660,2
42039000170,2
42039000020,2
42039000460,2
42039000130,2
42039000180,2
42039000270,2
42039000280,2
42039000060,2
42039000340,2
42039000400,2
42039000500,2
42039000080,2
42039000590,2
42039000390,2
42039000190,2
42039000250,2
42039000608,2
42039000610,2
42039000120,2
42039000260,2
42039000350,2
42039000490,2
42039000570,2
42039000070,2
42039000210,2
42039000320,2
42039000560,2
42039000100,2
42039000150,2
42039000640,2
42039000410,2
42039000360,2
42039000470,2
42039000240,2
42039000550,2
42039000040,2
42039000220,2
42039000602,2
42039000420,2
42039000200,2
42039000090,2
42039000580,2
42039000540,2
42039000230,2
42039000520,2
42039000160,2
42039000430,2
42039000290,2
42039000480,2
42039000530,2
42039000650,2
42039000510,2
42039000670,2
42049000370,1
42049000610,1
42049001072,1
42049001330,1
42049000300,1
42049000880,1
42049001460,1
42049001050,1
42049000898,1
42049000902,1
42049001440,1
42049001450,1
42049000280,1
42049001320,1
42049000420,1
42049001290,1
42049000650,1
42049000930,1
42049001410,1
42049001400,1
42049001317,1
42049001316,1
42049000030,1
42049000340,1
42049000590,1
42049001370,1
42049001430,1
42049001260,1
42049001110,1
42049000050,1
42049000520,1
42049001300,1
42049000850,1
42049000020,1
42049000960,1
42049000970,1
42049000320,1
42049000790,1
42049001068,1
42049001520,1
42049000245,1
42049000560,1
42049001240,1
42049001510,1
42049001140,1
42049000060,1
42049000890,1
42049000480,1
42049000470,1
42049000940,1
42049000075,1
42049001220,1
42049000440,1
42049001170,1
42049000490,1
42049001325,1
42049001160,1
42049001020,1
42049001100,1
42049000260,1
42049001030,1
42049000750,1
42049001390,1
42049000620,1
42049000990,1
42049001125,1
42049001420,1
42049000671,1
42049001010,1
42049000430,1
42049001090,1
42049000780,1
42049001380,1
42049001470,1
42049000910,1
42049000040,1
42049000820,1
42049999999,1
42049000141,1
42049000390,1
42049001492,1
42049000865,1
42049001200,1
