GEOID20,District
42091001307,1
42091001303,1
42091002740,1
42091003700,1
42091002590,1
42091002580,1
42091002640,1
42091002560,1
42091002570,1
42091002648,1
42091002652,1
42091001829,1
42091001815,1
42091002630,1
42091002620,1
42091002605,1
42091003550,1
42091002035,1
42091000818,1
42091000806,1
42091000812,1
42091000810,1
42091003260,1
42091002430,1
42091000830,1
42091002660,1
42091003240,1
42091001997,1
42091003180,1
42091000940,1
42091003250,1
42091002070,1
42091002025,1
42091001836,1
42091001822,1
42091001279,1
42091001296,1
42091001272,1
42091001295,1
42091001263,1
42091001287,1
42091002680,1
42091002690,1
42091003600,1
42091002730,1
42091000914,1
42091000918,1
42091002950,1
42091000915,1
42091002790,1
42091002780,1
42091002770,1
42091000927,1
42091000919,1
42091000931,1
42091000924,1
42091001911,1
42091001923,1
42091001905,1
42091001929,1
42091001935,1
42091001917,1
42091000933,1
42091000936,1
42091002762,1
42091002195,1
42091002205,1
42091003590,1
42091003030,1
42091000728,1
42091000732,1
42091000726,1
42091003565,1
42091003561,1
42091003570,1
42091003580,1
42091001880,3
42091001845,3
42091001950,3
42091001938,3
42091001944,3
42091001956,3
42091001890,3
42091001900,3
42091001875,3
42091001910,3
42091003665,3
42091003658,3
42091002748,1
42091002755,1
42091003001,2
42091003025,2
42091003011,2
42091003020,2
42091002980,2
42091002973,2
42091001026,1
42091001022,1
42091001016,1
42091001012,1
42091000992,1
42091001040,1
42091000996,1
42091001002,1
42091001006,1
42091001036,1
42091001032,1
42091002960,2
42091002970,2
42091002990,2
42091003652,3
42091003646,3
42091003233,2
42091003223,2
42091001290,2
42091001280,2
42091001270,2
42091002000,2
42091001965,2
42091001985,2
42091001983,2
42091002020,2
42091001260,2
42091001250,2
42091001240,2
42091001220,2
42091001210,2
42091001230,2
42091003210,2
42091002953,2
42091002956,2
42091002400,2
42091002410,2
42091002420,2
42091003200,2
42091003193,2
42091001989,2
42091001981,2
42091001987,2
42091001340,2
42091001350,2
42091001326,2
42091001370,2
42091001360,2
42091001323,2
42091003660,3
42091003670,3
42091003620,3
42091003640,3
42091003630,3
42091000870,3
42091000860,3
42091000840,3
42091000850,3
42091000880,3
42091000910,3
42091000890,3
42091003810,3
42091003861,3
42091003812,3
42091003865,3
42091003860,3
42091003821,3
42091003825,3
42091003831,3
42091003835,3
42091003841,3
42091003845,3
42091003855,3
42091001150,2
42091001145,2
42091001098,2
42091001091,2
42091001092,2
42091001065,2
42091001055,2
42091001060,2
42091001050,2
42091001108,2
42091001072,2
42091001118,2
42091001123,2
42091001128,2
42091001113,2
42091001085,2
42091001144,2
42091001143,2
42091001105,2
42091001135,2
42091003160,2
42091003170,2
42091003150,2
42091003141,2
42091003077,2
42091003090,2
42091003136,2
42091003131,2
42091003100,2
42091003110,2
42091003121,2
42091002795,2
42091002895,2
42091003050,2
42091000400,2
42091000410,2
42091000420,2
42091002775,2
42091003040,2
42091003070,2
42091003060,2
42091002835,2
42091003690,3
42091003650,3
42091002110,3
42091002160,3
42091002190,3
42091002220,3
42091002210,3
42091002200,3
42091002140,3
42091002170,3
42091002120,3
42091002130,3
42091002100,3
42091002090,3
42091003680,3
42091000450,3
42091003290,3
42091003270,3
42091003280,3
42091003300,3
42091003310,3
42091003330,3
42091003320,3
42091000430,3
42091000440,3
42091003400,3
42091003390,3
42091003340,3
42091003370,3
42091003360,3
42091003384,3
42091003382,3
42091003350,3
42091001540,3
42091002500,3
42091002480,3
42091002470,3
42091000900,3
42091002450,3
42091002488,3
42091002515,3
42091002510,3
42091002520,3
42091002460,3
42091002530,3
42091000800,2
42091000780,2
42091000760,2
42091000750,2
42091000740,2
42091000770,2
42091000790,2
42091003610,3
42091001530,3
42091001680,3
42091001699,3
42091001550,3
42091001710,3
42091001430,3
42091001420,3
42091001440,3
42091001460,3
42091001470,3
42091001450,3
42091001640,3
42091001650,3
42091001630,3
42091001741,3
42091001720,3
42091001560,3
42091001780,3
42091001770,3
42091001790,3
42091001610,3
42091001590,3
42091001580,3
42091001570,3
42091002060,3
42091002040,3
42091002050,3
42091001380,3
42091001731,3
42091001732,3
42091001750,3
42091001760,3
42091001725,3
42091001390,3
42091001400,3
42091001670,3
42091001690,3
42091001500,3
42091001660,3
42091001520,3
42091001510,3
42091001485,3
42091001620,3
42091001490,3
42091001480,3
42091001600,3
42091003430,2
42091000950,2
42091000960,2
42091003530,2
42091003540,2
42091003500,2
42091000980,2
42091000970,2
42091003440,2
42091003490,2
42091003460,2
42091003480,2
42091003470,2
42091003450,2
42091003410,2
42091003420,2
42091003510,2
42091003520,2
42091000460,2
42091001840,2
42091001850,2
42091001785,2
42091001795,2
42091001820,2
42091001810,2
42091001800,2
42091000035,7
42091003720,2
42091003710,2
42091003760,2
42091003730,2
42091003740,2
42091003790,2
42091003780,2
42091003750,2
42091003770,2
42091003800,2
42091002800,2
42091002810,2
42091002910,2
42091002920,2
42091002860,2
42091002850,2
42091002940,2
42091000470,7
42091002930,2
42091002820,2
42091002830,2
42091002890,2
42091002900,2
42091002840,2
42091002880,2
42091002870,2
42091000480,7
42091000540,7
42091000500,7
42091000490,7
42091000510,7
42091000520,7
42091000530,7
42091000610,7
42091000620,7
42091000550,7
42091000560,7
42091000135,7
42091000150,7
42091000230,7
42091000205,7
